,username,urls,post_dates,display_picture_relative_url,captions,n_likes,n_comments,n_hashtags,n_characters,n_words,n_emojis,n_mentions,is_video
6960,justintimberlake,https://www.instagram.com/p/CTYCdJ8FBWv,1630706711,./imgs/CTYCdJ8FBWv.png,In no particular order.,235255,2031,0,23,4,0,2,False
6961,justintimberlake,https://www.instagram.com/p/CTFzRPVg6W9,1630094797,./imgs/CTFzRPVg6W9.png,Still hits.,403619,4019,0,11,2,0,6,True
6962,justintimberlake,https://www.instagram.com/p/CSh-TDQgOp_,1628892631,./imgs/CSh-TDQgOp_.png,Getting closer…,56882,1213,0,15,2,0,1,True
6963,justintimberlake,https://www.instagram.com/p/CSP9RQHrwbV,1628288073,./imgs/CSP9RQHrwbV.png,"My heart is so heavy. We lost a beautiful soul this week. Nicole lit up every room she walked into. On and off the stage she was a constant source of joy and positivity. Some things feel so unfair and we will never understand why they happen. What I do know is that we were blessed to laugh with her, to travel with her, and to experience her infectious smile and love for a life filled with music. Nicole, it’s not enough to say that I am going to miss you dearly. Thank you for your light. I will do my best to carry that with me. I love you, my sister. Forever family and forever a TN Kid. 💔",411930,7619,0,594,120,1,7,False
6964,justintimberlake,https://www.instagram.com/p/CSKJo6Cr7qP,1628093232,./imgs/CSKJo6Cr7qP.png,Is everyone else’s this accurate?,501585,3883,0,33,5,0,0,False
6965,justintimberlake,https://www.instagram.com/p/CR-AdB8r824,1627685763,./imgs/CR-AdB8r824.png,Like fine wine 🤌🏻,326190,2359,0,17,4,2,2,False
6966,justintimberlake,https://www.instagram.com/p/CR4I7W8rFHO,1627488879,./imgs/CR4I7W8rFHO.png,20 years already?! What a time to be alive.,671391,9745,0,43,9,0,5,False
6967,justintimberlake,https://www.instagram.com/p/CRNJxm7gZd-,1626046501,./imgs/CRNJxm7gZd-.png,Shots between holes 💯 @acchampionship #accgolf,491359,3312,1,46,6,1,1,True
6968,justintimberlake,https://www.instagram.com/p/CRKen_ULy9n,1625956751,./imgs/CRKen_ULy9n.png,"IT JUST HAPPENED 😂🦋 @stephencurry30 @acchampionship 
#ACCGolf",586501,2468,1,61,7,2,2,False
6969,justintimberlake,https://www.instagram.com/p/CQhlCLcHbrg,1624584412,./imgs/CQhlCLcHbrg.png,Space & Time drops at midnight 🙌🏻Proud of you @justineskye - and happy to be part of it. 🛸⏱,207116,2059,0,91,19,4,1,True
